CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,2,1,1,8,10,1,1,10,16,0,0,0,0,0,5,0,0,3,4,0,0,2,37,45,17,17,1,0,6,0,4,0,50,16,0,39,16,37,45,17,17,1,0,6,0,4,0,50,16,0,39,16,true
0,0,0,0,0,0,0,0,1,3,3,44,20,66,81,23,46,0,0,0,0,0,18,0,0,2,2,0,0,1,171,197,10,8,10,8,23,0,17,4,23,79,0,17,4,180,206,10,8,10,8,25,0,19,4,25,82,0,19,4,true
0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,false
0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,false
0,0,0,0,0,0,0,0,5,3,3,65,47,36,44,64,109,0.034483,0.00369,1,1,1,28,0.009029,4,1,5,0,0,5,270,325,13,20,13,20,45,5,28,0,45,107,5,28,0,439,516,14,20,14,20,61,5,33,0,61,199,5,33,0,true
0,0,0,0,0,0,0,0,1,2,2,3,3,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,1,0,1,4,0,1,0,11,11,0,0,0,0,1,0,1,0,1,4,0,1,0,true
0,0,0,0,0,0,0,0,1,2,2,3,3,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,1,0,1,7,0,1,0,14,14,0,0,0,0,1,0,1,0,1,7,0,1,0,false
0,0,0,0,0,0,0,0,1,5,3,30,15,1,1,29,40,0,0,0,0,0,2,0,0,0,0,0,0,0,108,121,1,0,1,0,11,0,1,0,11,61,0,1,0,108,121,1,0,1,0,11,0,1,0,11,61,0,1,0,true
0,0,0,0,0,0,0,0,2,2,2,11,15,0,0,22,25,0,0.069767,3,0,0,3,0.069767,3,1,1,0,0,1,40,49,0,0,0,0,3,0,2,0,3,20,0,2,0,40,49,0,0,0,0,3,0,2,0,3,20,0,2,0,true
0,0,0,0,0,0,0,0,1,1,1,4,12,1,0,20,22,0,0,0,0,0,2,0,0,0,0,0,0,0,56,80,2,0,2,0,2,0,1,0,2,43,0,1,0,75,105,4,1,4,1,7,0,6,1,12,49,0,11,1,false
0,0,0,0,0,0,0,0,2,1,1,3,4,0,0,1,3,0,0,0,0,0,3,0,0,2,2,0,0,1,8,9,0,0,0,0,2,0,2,0,7,3,0,7,0,8,9,0,0,0,0,2,0,2,0,7,3,0,7,0,false
0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,13,18,2,1,2,1,3,0,3,1,3,3,0,3,1,13,18,2,1,2,1,3,0,3,1,3,3,0,3,1,false
0,0,0,0,0,0,0,0,1,1,1,3,4,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12,15,2,0,2,0,2,0,0,0,2,3,0,0,0,12,15,2,0,2,0,2,0,0,0,2,3,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,4,0,0,0,0,0,5,0,0,2,2,0,0,1,20,25,2,3,2,3,4,0,4,0,4,5,0,4,0,20,25,2,3,2,3,4,0,4,0,4,5,0,4,0,false
0.072261,1,4,2,0.066148,0.079365,34,30,16,2,2,20,29,0,0,56,72,0.235294,0.04943,13,12,4,13,0.033248,13,1,1,0,0,1,250,355,2,1,0,0,16,0,16,0,49,188,0,45,0,378,514,9,9,2,2,47,1,45,0,106,230,1,98,4,false
1,1,2,1,1,1,10,10,1,1,1,2,2,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,false
1,1,2,1,1,1,10,10,1,1,1,2,2,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,false
0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,false
0,0,0,0,0,0,0,0,4,1,1,5,4,0,0,1,5,0,0,0,0,0,5,0,0,2,2,0,0,1,13,19,0,0,0,0,4,0,4,0,4,4,0,4,0,13,19,0,0,0,0,4,0,4,0,4,4,0,4,0,false
0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,false
0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,3,0,0,2,2,0,0,1,9,10,0,0,0,0,2,0,2,0,7,2,0,7,0,9,10,0,0,0,0,2,0,2,0,7,2,0,7,0,false
0,0,0,0,0,0,0,0,1,2,2,3,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,1,0,1,4,0,1,0,12,12,0,0,0,0,1,0,1,0,1,4,0,1,0,false
0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,false
0,0,0,0,0,0,0,0,6,1,1,11,1,1,1,0,7,0,0,0,0,0,7,0,0,1,1,0,0,1,28,38,0,0,0,0,7,0,6,0,7,9,0,6,0,28,38,0,0,0,0,7,0,6,0,7,9,0,6,0,false
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,2,0,0,3,4,0,0,1,5,6,5,6,0,0,1,0,1,0,22,1,0,20,4,5,6,5,6,0,0,1,0,1,0,22,1,0,20,4,false
0,0,0,0,0,0,0,0,1,0,0,6,3,2,2,2,8,0,0,0,0,0,7,0,0,1,1,0,0,1,20,27,1,2,1,2,6,1,6,0,6,5,1,6,0,20,27,1,2,1,2,6,1,6,0,6,5,1,6,0,false
0,0,0,0,0,0,0,0,4,0,0,5,5,1,1,0,5,0,0,0,0,0,5,0,0,2,2,0,0,2,15,21,1,0,1,0,5,0,4,0,5,2,0,4,0,15,21,1,0,1,0,5,0,4,0,5,2,0,4,0,false
0.71712,9,82,28,0.61794,0.62069,186,144,4,2,2,27,17,0,0,32,39,0,0.013699,3,0,0,8,0.012766,3,1,1,0,0,1,216,281,2,1,0,0,7,0,7,0,40,178,0,36,0,232,301,3,1,1,0,11,0,10,0,44,180,0,39,0,false
0,0,0,0,0,0,0,0,3,0,0,4,3,1,4,0,4,0,0,0,0,0,4,0,0,1,1,0,0,1,16,20,1,0,1,0,4,0,3,0,4,2,0,3,0,16,20,1,0,1,0,4,0,3,0,4,2,0,3,0,false
0.955882,1,3,3,0.864407,0.913043,51,42,3,0,0,3,2,0,0,4,7,0,0,0,0,0,4,0,0,0,0,0,0,0,46,59,0,0,0,0,3,0,3,0,3,33,0,3,0,46,59,0,0,0,0,3,0,3,0,3,33,0,3,0,false
0.182755,3,19,5,0.156818,0.162393,69,57,2,1,1,59,12,0,0,27,50,0,0.050562,18,0,0,24,0.04878,18,0,0,0,0,0,338,427,11,0,11,0,23,0,23,0,23,287,0,23,0,351,440,11,0,11,0,26,0,26,0,26,293,0,26,0,false
0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,4,0,0,0,0,0,2,0,0,1,1,0,0,1,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,false
0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,4,0,0,0,0,0,2,0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,false
0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,4,0,0,0,0,0,2,0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,false
